Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Size class,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Eff Tax Rate (+ve income),Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings,Fiscal Year End Date
Forward Air,FWRD,Trucking,4200,NDQ,7,$32.05,160579,29,$932.00,$51.50,$983.50,$909.00,$74.50,$483.90,$521.40,29.13,20.90,$1.73,18.53,1.88,3.64,1.93,16.93,12.25,3.90,3.20,1.88,1.74,-1.00%,15.50%,10.50%,15.62%,1.35,1.15,0.2103,34.72%,-$1.95,0.8000,25.05%,-6.02%,12.50%,13.90%,6.61%,11.10%,233.1,256.1,348.8,$44.50,$3.45,$32.00,$53.70,$32.40,$	74.20,$34.35,39.66%,39.74%,9.20%,7.57%,15.40%,21.36%,$15.10,$20.50,$208.00,$521.40,$44.60,$8.02,21.39%,36.24%,5.53%,5.24%,16.74%,0.86%,7.60%,NA,12/31/10
First W Va Bancorp Inc,FWV,Bank,6000,AMS,3,$14.98,876,1.7,$24.30,$3.80,$28.10,$23.50,$4.60,NA,NA,10.57,10.57,NA,NA,NA,0.78,NA,3.18,3.18,0.78,0.81,NA,NA,-1.50%,NA,NA,NA,0.47,0.50,0.1863,33.55%,$0.00,0.3726,54.52%,0.00%,7.40%,20.14%,NA,NA,30.3,31.1,278,$0.00,NA,$2.30,$7.40,$6.10,$	7.40,$6.10,17.53%,17.86%,NA,16.37%,NA,1.65%,$0.00,$0.00,$2.70,NA,$2.30,$1.25,0.58%,0.00%,15.64%,13.52%,10.89%,5.16%,NA,14.21%,12/31/10
Fox Chase Bancorp Inc,FXCB,Thrift,6120,NDQ,5,$12.63,49693,13.8,$166.90,$50.00,$216.90,$178.60,$38.30,NA,NA,61.81,36.28,$0.36,35.08,NA,0.81,NA,8.80,8.80,0.82,0.85,NA,NA,NA,NA,NA,NA,0.54,0.60,0.1082,20.10%,$0.00,0.7463,38.94%,0.00%,1.31%,6.63%,NA,NA,217.4,205.7,1095.5,$0.00,NA,$2.70,$20.30,$14.42,$	20.30,$14.42,28.99%,30.77%,NA,17.66%,NA,3.50%,$0.00,$0.00,$15.20,NA,$4.60,$1.05,0.00%,0.98%,29.96%,23.05%,19.55%,0.63%,NA,52.73%,12/31/10
FXCM Inc,FXCM,Securities Brokerage,6210,NYS,5,$9.75,308654,17.3,$141.50,$0.00,$141.50,-$51.80,$193.30,$346.30,NA,1415.00,NA,NA,NA,NA,1.38,0.41,NA,NA,NA,NA,-0.15,NA,NA,NA,NA,NA,NA,NA,0.2909,NA,-$0.70,NA,0.00%,-0.81%,0.10%,NA,0.03%,26.13%,-91.1,102.2,1047.8,-$36.40,NA,$0.10,$90.50,$86.90,$	99.80,$87.60,3.98%,99.90%,-10.51%,136.61%,55.82%,18.45%,$8.60,$9.30,$89.00,NA,NA,$0.00,6.15%,1.78%,0.00%,0.00%,0.00%,0.00%,NA,NA,12/31/10
FX Energy Inc,FXEN,Oilfield Svcs/Equip.,3533,NDQ,6,$4.80,511536,45.3,$254.40,$35.10,$289.50,$269.80,$19.70,$25.00,$32.50,NA,NA,NA,NA,NA,10.69,10.18,42.16,29.65,6.88,4.92,10.79,8.30,NA,NA,NA,61.98%,1.6,1.40,0.5375,68.66%,$4.68,0.5098,NA,73.13%,-3.36%,16.33%,-3.20%,25.60%,39.2,23.8,66.6,-$1.40,-$0.42,-$0.80,$6.40,$6.40,$	9.10,$1.72,0.00%,NA,-5.60%,6.80%,78.80%,29.58%,$7.80,$2.70,$8.00,$32.50,-$3.70,$0.00,0.00%,57.66%,13.80%,12.12%,59.59%,0.00%,NA,38.68%,12/31/10
First National Corp /VA/,FXNC,Bank,6000,NDQ,3,$6.00,2673,2.9,$17.70,$29.40,$47.10,$42.10,$5.00,NA,NA,NA,NA,NA,NA,NA,0.36,NA,2.30,2.30,0.58,0.60,NA,NA,-38.00%,NA,NA,NA,0.63,0.45,0.4869,49.24%,$0.00,0.2285,NA,0.00%,-7.42%,25.10%,NA,NA,72.9,48.5,544.6,$0.00,NA,-$3.60,$18.30,$18.30,$	18.30,$18.30,0.00%,NA,NA,10.62%,NA,0.92%,$0.00,$0.00,$5.90,NA,-$3.60,$0.00,0.00%,0.00%,166.10%,62.42%,37.74%,0.00%,NA,2.16%,12/31/10
Genpact Ltd,G,Industrial Services,7300,NYS,9,$14.95,715470,220.9,"$3,327.70",$29.30,"$3,357.00","$2,876.00",$481.00,"$1,259.00","$1,499.30",23.40,21.07,$0.81,18.46,1.46,2.25,2.64,16.69,11.67,2.80,2.23,2.28,1.92,NA,16.00%,NA,10.64%,0.95,1.00,0.1622,33.33%,$11.35,0.7501,0.00%,8.10%,9.62%,13.65%,11.29%,13.69%,1027,1478.7,1893.5,$159.00,$30.35,$142.20,$172.30,$140.14,$	246.50,$128.79,18.67%,22.38%,12.63%,14.33%,38.20%,25.40%,$55.20,$74.20,$282.50,"$1,499.30",$157.90,$0.00,31.87%,10.41%,0.88%,0.87%,1.94%,0.00%,NA,79.98%,12/31/10
Giant Interactive Group Inc,GA,Entertainment Tech,3663,NYS,7,$4.08,742542,228,$934.90,$0.00,$934.90,-$8.80,$943.70,$208.50,$253.70,7.10,6.90,$0.60,6.80,0.58,0.93,4.48,NA,NA,-0.15,0.93,-0.04,-0.03,NA,12.33%,NA,1.59%,0.99,0.80,0.5156,44.30%,-$21.78,0.4515,0.00%,-21.72%,13.16%,176.53%,63.17%,54.15%,56.8,1000.5,1112.4,-$66.80,-$14.48,$131.70,$112.90,$100.27,$	126.40,$122.05,11.19%,10.89%,-32.04%,100.94%,452.61%,84.83%,$6.20,$13.50,$70.20,$253.70,$135.40,$0.00,0.58%,2.01%,0.00%,0.00%,0.00%,0.00%,NA,8.13%,12/31/10
Georgia Bancshares Inc,GABA,Bank,6000,NDQ,1,$0.20,2883,3,$0.50,$21.70,$22.20,$16.80,$5.40,NA,NA,0.24,NA,NA,NA,NA,0.02,NA,1.54,1.54,0.37,0.43,NA,NA,NA,NA,NA,NA,-1.02,1.20,0.7265,201.04%,$0.00,0.1492,0.00%,0.00%,7.07%,17.39%,NA,NA,46,29.7,362.5,$0.00,NA,$2.10,$10.90,$8.00,$	10.90,$8.00,26.60%,25.00%,NA,24.32%,NA,1.49%,$0.00,$0.00,$11.50,NA,NA,$0.00,0.00%,0.00%,4340.00%,97.75%,42.22%,0.00%,NA,NA,12/31/07
German American Bancorp,GABC,Bank (Midwest),6001,NDQ,5,$18.19,19639,11.1,$238.60,$81.00,$319.60,$304.60,$15.00,NA,NA,17.81,13.33,$1.56,11.66,2.97,1.96,NA,6.28,6.28,1.62,1.58,NA,NA,9.00%,6.00%,NA,NA,0.57,0.50,0.1418,24.94%,$0.00,0.5012,52.53%,0.00%,11.03%,18.22%,NA,NA,187.5,121.5,1375.9,$0.00,NA,$13.40,$48.50,$34.17,$	48.50,$34.17,29.55%,29.47%,NA,4.69%,NA,1.09%,$0.00,$0.00,$10.60,NA,$17.90,$7.04,0.91%,0.00%,33.95%,25.34%,40.00%,2.95%,NA,17.22%,12/31/10
Global Aircraft Solutions Inc,GACFQ,Aerospace/Defense,3720,NDQ,1,$0.00,1327483,40.2,$0.40,$10.50,$10.90,$9.70,$1.20,$24.70,$27.00,NA,NA,NA,NA,NA,0.03,0.02,NA,NA,0.42,0.45,0.39,0.36,NA,NA,NA,-29.46%,NA,0.80,1.0000,NA,$1.49,NA,NA,NA,-25.55%,-21.16%,-14.17%,-19.70%,23,13.7,29.7,$21.40,$1.99,-$3.50,-$4.87,-$4.87,$	(4.27),-$6.36,0.00%,NA,86.64%,11.01%,4.86%,4.04%,$0.10,$0.60,$10.90,$27.00,-$1.30,$0.00,0.00%,3.37%,2625.00%,96.33%,43.39%,0.00%,NA,0.39%,12/31/07
Global Arena Holding Inc,GAHC,Apparel,2300,NDQ,1,$0.75,5784,0.6,$0.40,$14.70,$15.10,$14.70,$0.40,$11.90,$12.60,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,1.24,1.17,NA,NA,NA,-38.31%,1.1,0.10,0.8644,257.43%,-$0.31,0.0097,NA,NA,NA,NA,-15.97%,-11.21%,NA,NA,19.9,$4.90,$0.29,-$1.90,-$1.33,-$1.33,$	(0.73),-$1.02,0.00%,NA,41.18%,2.65%,3.36%,2.01%,$0.00,$0.60,$2.30,$12.60,-$1.50,$0.00,6.53%,37.19%,3675.00%,97.35%,NA,0.00%,NA,NA,12/31/09
Gaiam Inc.,GAIA,Retail (Hardlines),5999,NDQ,4,$3.24,61344,23.3,$74.10,$0.00,$74.10,$45.30,$28.80,$274.30,$262.20,17.23,NA,NA,NA,1.15,0.49,0.27,7.31,3.28,0.37,0.49,0.17,0.17,NA,15.00%,NA,-2.26%,2.21,1.50,0.4587,62.71%,-$1.82,0.5980,79.44%,-43.06%,2.83%,3.43%,1.57%,2.26%,123.2,152,207.8,$66.20,-$2.92,$4.30,$6.20,$4.23,$	13.80,$6.05,31.82%,41.89%,24.13%,38.87%,10.50%,13.86%,$8.70,$7.60,$129.70,$262.20,-$2.50,$3.42,20.36%,13.43%,0.00%,0.00%,0.00%,4.61%,NA,54.25%,12/31/10
Galena Biopharma Inc,GALE,Biotechnology,2830,NDQ,3,$0.47,738477,18.4,$19.30,$0.10,$19.40,$12.50,$6.90,NA,NA,NA,NA,NA,NA,NA,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.85,0.7662,98.95%,-$0.10,0.2148,NA,NA,-500.00%,NA,NA,NA,-4.4,2.4,7.5,-$4.80,NA,-$12.00,NA,NA,NA,NA,0.00%,NA,NA,35.57%,NA,92.00%,$0.10,$0.20,$11.40,NA,NA,$0.00,0.00%,5.33%,0.52%,0.52%,4.00%,0.00%,NA,2.03%,12/31/10
Galectin Therapeutics Inc,GALT,Drug,2834,NDQ,4,$0.96,179253,63.8,$76.80,$0.00,$76.80,$70.90,$5.90,NA,NA,NA,NA,NA,NA,NA,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,0.60,0.4208,104.58%,$0.00,0.1434,NA,NA,-124.44%,NA,NA,NA,-1.4,4.5,6.3,-$1.40,NA,-$5.60,NA,NA,NA,NA,0.00%,NA,NA,7.68%,NA,93.65%,$0.00,$0.00,$4.90,NA,-$7.10,$0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NA,0.02%,12/31/10
Shanda Games Ltd,GAME,Entertainment Tech,3663,NDQ,8,$3.91,751385,283.7,"$1,195.60",$145.30,"$1,340.90","$1,000.50",$340.40,$705.00,$758.00,5.93,5.85,$0.74,5.28,0.74,1.90,1.70,4.80,3.91,2.31,1.73,1.42,1.32,NA,8.00%,NA,-4.86%,NA,1.20,0.3799,NA,-$35.03,NA,0.00%,-20.64%,32.06%,39.10%,28.61%,29.59%,434,629.1,1061,$0.90,$0.07,$201.70,$208.60,$169.69,$	256.10,$204.73,18.65%,19.96%,0.13%,25.39%,48.28%,32.08%,$12.40,$47.50,$208.90,$758.00,$204.30,$0.00,25.74%,2.88%,12.15%,10.84%,18.76%,0.00%,NA,16.51%,12/31/10
G't Atlantic & Pacific,GAPTQ,Retail/Wholesale Food,5400,NDQ,1,$0.04,0,55.9,$2.80,"$1,141.10","$1,143.90",$891.50,$252.40,"$8,813.60","$8,272.60",NA,NA,NA,NA,NA,NA,0.00,NA,4.47,1.81,1.54,0.10,0.11,NA,NA,NA,-4.39%,1.55,NA,0.8919,98.97%,-$156.81,NA,NA,NA,NA,-9.32%,-2.56%,-0.52%,492.3,-396.4,2827.2,-$37.30,$2.29,-$225.90,-$45.90,-$45.90,$	199.60,$110.91,0.00%,NA,-0.42%,22.06%,2.86%,8.93%,$86.40,$245.50,"$2,712.60","$8,272.60",-$373.30,$0.00,9.30%,52.62%,40753.57%,99.76%,NA,0.00%,NA,1.71%,2/27/10
Garb Oil & Power Corp,GARB,Environmental,4953,NDQ,1,$0.00,9738212,47.2,$0.80,$0.90,$1.70,$1.70,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,-2,-2.9,NA,-$2.00,NA,-$0.40,NA,NA,NA,NA,0.00%,NA,NA,0.00%,NA,NA,$0.00,$0.00,$0.10,NA,-$1.10,$0.00,NA,NA,112.50%,52.94%,NA,0.00%,NA,NA,6/30/09
AGL Resources,GAS,Natural Gas Utility,4920,NYS,9,$42.26,559701,78,"$3,291.20","$2,705.00","$5,996.20","$5,972.20",$24.00,"$2,373.00","$2,213.00",14.06,16.21,$3.52,12.01,3.13,1.82,1.39,10.94,8.46,1.33,1.33,2.52,2.70,4.50%,4.50%,3.00%,1.82%,0.48,0.75,0.1236,17.45%,$299.97,0.8000,60.48%,85.71%,12.91%,7.79%,9.86%,23.01%,4494,1813,7518,$742.00,-$50.03,$234.00,$546.00,$350.00,$	706.00,$50.03,35.90%,40.00%,31.27%,0.40%,1.01%,0.32%,$510.00,$160.00,$503.00,"$2,213.00",$203.00,$141.52,5.56%,58.59%,82.19%,45.11%,59.87%,4.30%,1.00%,64.29%,12/31/10
StealthGas Inc.,GASS,Maritime,4400,NDQ,4,$3.86,60122,21.1,$88.00,$356.70,$444.70,$414.90,$29.80,$111.40,$117.80,8.07,10.48,NA,NA,NA,0.29,0.79,18.95,8.55,0.66,0.67,3.72,3.52,-3.00%,NA,NA,4.01%,0.56,1.40,0.4426,48.66%,$43.71,0.7193,0.00%,199.61%,3.56%,3.46%,9.78%,19.66%,633.2,306.3,688.4,-$10.20,-$0.59,$10.90,$21.90,$21.90,$	48.50,-$21.81,0.00%,0.00%,-9.16%,6.70%,26.75%,4.33%,$70.90,$26.60,$8.20,$117.80,$8.40,$0.00,0.00%,87.61%,405.34%,80.21%,53.80%,0.00%,NA,21.77%,12/31/10
Global Axcess Corporation,GAXC,Financial Svcs. (Div.),6100,NDQ,2,$0.60,49456,22.1,$13.20,$9.80,$23.00,$21.30,$1.70,$22.70,$30.40,NA,NA,NA,NA,NA,0.83,0.58,106.50,7.89,0.89,0.89,0.94,0.70,16.00%,NA,NA,4.61%,0.46,0.85,0.4393,86.16%,$2.02,0.2466,NA,1009.91%,-1.89%,0.83%,-1.32%,0.88%,24,15.9,30.4,-$2.30,-$0.78,-$0.30,$0.20,$0.20,$	2.70,-$1.82,0.00%,NA,-10.13%,7.39%,7.49%,5.59%,$5.30,$2.50,$6.70,$30.40,-$2.50,$0.00,49.67%,31.58%,74.24%,42.61%,38.13%,0.00%,NA,NA,12/31/10
Galaxy Energy Corp,GAXIQ,Petroleum (Producing),1300,NDQ,1,$0.00,30543,83.7,$1.70,$44.60,$46.30,$46.30,$0.00,$0.50,$0.50,NA,NA,NA,NA,NA,NA,3.40,NA,NA,1.36,1.36,92.60,92.60,NA,NA,NA,-61.67%,NA,0.15,1.0000,NA,$1.50,NA,NA,NA,NA,-14.62%,-4000.00%,-994.01%,34,-10.6,43.8,-$7.10,$0.00,-$20.00,-$4.97,-$4.97,$	(4.37),-$6.47,0.00%,NA,-1420.00%,0.00%,0.00%,0.00%,$2.10,$0.60,$3.70,$0.50,-$14.00,$0.00,0.00%,98.63%,2623.53%,96.33%,NA,0.00%,NA,0.01%,11/30/07
Greatbatch Inc.,GB,Electronics,3670,NYS,7,$22.10,147291,23.3,$515.50,$220.60,$736.10,$713.20,$22.90,$533.40,$560.10,14.40,8.97,$1.77,12.49,1.80,1.21,0.97,11.13,6.45,1.14,1.14,1.34,1.27,13.00%,8.00%,2.00%,1.78%,0.78,0.75,0.2208,24.83%,-$23.90,0.7551,0.00%,-41.52%,8.39%,9.22%,6.71%,12.02%,624.5,426.8,777,$127.90,$6.40,$35.80,$64.10,$57.55,$	110.50,$81.45,10.22%,10.05%,23.98%,3.11%,4.29%,2.95%,$16.10,$46.40,$109.50,$560.10,$57.50,$0.00,42.18%,18.84%,42.79%,29.97%,34.07%,0.00%,5.20%,95.71%,12/31/10
Glacier Bancorp Inc.,GBCI,Bank (Midwest),6001,NDQ,7,$12.03,494998,71.9,$875.90,$0.00,$875.90,$804.40,$71.50,NA,NA,20.71,19.29,NA,NA,2.18,1.04,NA,3.18,3.18,1.05,1.04,NA,NA,-4.00%,9.50%,NA,NA,1.15,1.00,0.2826,34.53%,$0.00,0.7240,88.42%,0.00%,5.05%,28.08%,NA,NA,766.7,838.2,6759.3,$0.00,NA,$42.30,$252.60,$215.26,$	252.60,$215.26,14.78%,14.89%,NA,8.16%,NA,1.06%,$0.00,$0.00,$35.60,NA,$45.40,$37.40,2.37%,0.00%,0.00%,0.00%,0.00%,4.27%,NA,77.32%,12/31/10
Global Casinos Inc,GBCS,Hotel/Gaming,7000,NDQ,1,$0.42,31950,6.8,$2.70,$1.30,$4.00,$3.50,$0.50,$5.50,$5.70,NA,NA,NA,NA,NA,1.59,0.49,NA,11.67,1.40,1.33,0.64,0.61,NA,NA,NA,-12.48%,0.26,0.75,0.7465,141.10%,-$0.41,0.1329,NA,NA,-76.47%,-4.00%,-23.64%,-1.82%,2.5,1.7,3.5,-$0.20,-$0.01,-$1.30,-$0.10,-$0.10,$	0.30,$0.31,0.00%,NA,-3.64%,12.50%,9.09%,14.29%,$0.00,$0.40,$0.20,$5.70,-$1.00,$0.00,0.00%,77.14%,48.15%,32.50%,43.33%,0.00%,NA,NA,6/30/11
Grubb & Ellis Co.,GBE,Financial Svcs. (Div.),6100,NYS,2,$0.13,446160,65.4,$8.60,$118.00,$126.60,$92.80,$33.80,$575.50,$190.80,NA,NA,NA,NA,NA,0.39,0.01,NA,NA,0.87,0.90,0.16,0.49,NA,12.00%,NA,4.72%,NA,1.35,0.8839,NA,$15.10,NA,NA,NA,-308.18%,-31.59%,-11.78%,-5.83%,106.2,22,286.9,-$35.90,$24.00,-$67.80,-$33.54,-$33.54,$	(12.34),-$48.64,0.00%,NA,-6.24%,26.70%,5.87%,11.78%,$12.30,$21.20,$85.00,$190.80,-$19.20,$0.00,31.23%,19.90%,1372.09%,93.21%,84.29%,0.00%,NA,8.20%,12/31/10
Great Basin Gold Ltd,GBG,Precious Metals,1041,AMS,6,$0.91,2471593,414,$376.80,$209.60,$586.40,$573.50,$12.90,$99.70,$172.60,NA,NA,NA,NA,NA,0.74,3.78,NA,NA,0.81,0.82,5.75,3.32,NA,NA,NA,138.44%,NA,1.25,0.5556,NA,$196.67,NA,NA,NA,-5.67%,-3.61%,-28.99%,-25.59%,706.1,509.4,818,-$33.00,-$24.13,-$28.90,-$25.51,-$25.51,$	(16.81),-$222.18,0.00%,NA,-33.10%,2.20%,12.94%,1.58%,$229.50,$8.70,$7.60,$172.60,-$31.40,$0.00,0.00%,92.67%,55.63%,35.74%,29.15%,0.00%,NA,54.10%,12/31/10
GAMCO Investors Inc,GBL,Financial Svcs. (Div.),6100,NYS,8,$43.49,16113,27.1,"$1,187.70",$163.80,"$1,351.50","$1,181.90",$169.60,$280.40,$337.60,17.26,16.29,$2.58,16.86,2.16,3.08,4.24,10.41,10.35,3.11,2.46,4.22,3.50,-1.50%,8.00%,NA,31.17%,1.37,1.20,0.1934,43.17%,$0.20,0.6949,6.21%,0.27%,17.82%,19.12%,24.54%,40.48%,380.2,386,672.7,$4.40,$0.90,$68.80,$113.50,$72.68,$	114.20,$72.48,35.97%,37.05%,1.57%,12.55%,60.49%,25.21%,$0.00,$0.70,$43.10,$337.60,$72.90,$4.28,0.80%,0.64%,13.79%,12.12%,29.79%,0.36%,NA,50.54%,12/31/10
Global 8 Environmental Tech,GBLE,Environmental,4953,NDQ,1,$0.01,32194,69.2,$1.90,$0.70,$2.60,$2.40,$0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.7143,NA,$0.20,NA,NA,NA,NA,NA,NA,NA,-0.5,-1,1.3,-$1.40,NA,-$5.60,NA,NA,NA,NA,0.00%,NA,NA,7.69%,NA,15.38%,$0.20,$0.00,$5.40,NA,-$5.40,$0.00,0.00%,69.23%,36.84%,26.92%,NA,0.00%,NA,NA,9/30/08
Global Indemnity PLC,GBLI,Insurance (Prop/Cas.),6330,NDQ,7,$19.83,37250,30.4,$608.10,$121.00,$729.10,$609.20,$119.90,NA,NA,7.16,106.68,NA,NA,0.72,0.65,NA,NA,NA,0.66,0.69,NA,NA,-37.00%,10.00%,NA,NA,1.1,0.90,0.2755,51.09%,$0.00,0.4404,0.00%,NA,9.14%,NA,NA,NA,929.8,928.7,2294.7,$0.00,NA,$84.90,NA,NA,NA,NA,9.48%,9.49%,NA,16.44%,NA,5.23%,$0.00,$0.00,$296.50,NA,$5.70,$0.00,1.04%,0.00%,19.90%,16.60%,11.53%,0.00%,NA,NA,12/31/10
Guaranty Bancorp,GBNK,Bank,6000,NDQ,5,$1.47,54049,53.5,$153.60,$204.50,$358.10,$216.60,$141.50,NA,NA,NA,NA,NA,NA,NA,0.96,NA,3.82,3.82,0.97,0.98,NA,NA,NA,NA,NA,NA,0.68,1.15,0.2366,55.24%,$0.00,0.5205,NA,0.00%,-19.53%,25.39%,NA,NA,223.3,160.3,1870.1,$0.00,NA,-$31.30,$56.70,$56.70,$	56.70,$56.70,0.00%,NA,NA,39.51%,NA,7.57%,$0.00,$0.00,$15.60,NA,-$14.20,$0.00,0.75%,0.00%,133.14%,57.11%,56.06%,0.00%,NA,43.08%,12/31/10
New Concept Energy Inc,GBR,Cable TV,4840,AMS,1,$2.25,19150,0,$3.40,$0.00,$3.40,$3.40,$0.00,NA,$4.00,NA,34.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,1.19,0.90,0.7043,71.18%,$0.00,0.3161,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,0.00%,NA,NA,$0.00,$0.00,$0.00,$4.00,$0.10,$0.00,NA,NA,0.00%,0.00%,NA,0.00%,NA,0.56%,1/1/70
GlobeTrac Inc.,GBTR,Telecom. Equipment,4811,NDQ,2,$0.20,85847,89.9,$13.50,$0.00,$13.50,$13.50,$0.00,$0.10,NA,NA,NA,NA,NA,NA,NA,135.00,NA,NA,NA,NA,135.00,NA,NA,NA,NA,-68.85%,NA,0.35,1.0000,NA,$0.00,NA,NA,NA,NA,NA,-100.00%,0.00%,-0.1,-0.1,NA,-$0.20,NA,-$0.10,$0.00,$0.00,$	0.00,$0.00,0.00%,NA,-200.00%,0.00%,0.00%,NA,$0.00,$0.00,$0.10,NA,-$0.30,$0.00,NA,NA,0.00%,0.00%,NA,0.00%,NA,NA,12/31/09
Gabriel Resources Ltd,GBU.TO,Precious Metals,1041,TSE,8,$6.28,570311,348.2,"$2,137.80",$0.00,"$2,137.80","$2,016.30",$121.50,NA,NA,NA,2375.33,NA,NA,NA,3.32,NA,NA,NA,3.86,3.32,NA,NA,NA,NA,NA,NA,NA,1.05,0.2683,NA,$41.60,NA,NA,NA,-3.53%,NA,NA,NA,522.3,643.8,661.9,-$11.80,NA,-$22.70,NA,NA,NA,NA,0.00%,NA,NA,5.68%,NA,18.36%,$41.80,$0.20,$7.50,NA,$0.90,$0.00,0.00%,81.21%,0.00%,0.00%,0.00%,0.00%,NA,0.18%,12/31/10
Greenbrier Cos Inc.,GBX,Railroad,4002,NYS,7,$24.28,528682,25.2,$616.30,$519.40,"$1,135.70","$1,085.50",$50.20,"$1,243.30","$1,243.30",94.82,94.82,$2.00,12.14,9.48,1.70,0.50,18.34,11.13,1.31,1.29,0.87,0.87,NA,10.00%,NA,41.26%,3.9,1.80,0.4907,107.11%,$46.00,0.4201,0.00%,102.08%,1.80%,5.42%,0.52%,4.76%,830.8,361.6,1301.7,$237.00,$0.00,$6.50,$59.20,$45.06,$	97.50,-$0.94,23.88%,56.38%,19.06%,4.42%,4.04%,3.86%,$84.30,$38.30,$117.50,"$1,243.30",$6.50,$0.00,10.53%,37.05%,84.28%,45.73%,58.96%,0.00%,NA,73.94%,8/31/11
Global Cash Access Holdings,GCA,Financial Svcs. (Div.),6100,NYS,6,$4.45,471612,64.4,$296.80,$208.80,$505.60,$445.00,$60.60,$605.60,$544.20,16.96,67.45,NA,NA,2.26,2.07,0.49,8.46,6.47,1.53,1.44,0.73,0.82,-1.50%,7.50%,NA,-4.29%,1.18,0.95,0.4060,74.70%,-$0.20,0.3179,0.00%,-0.77%,12.20%,8.72%,2.89%,8.69%,291.7,143.5,458.4,-$68.10,$6.90,$17.50,$52.60,$25.43,$	68.80,$25.63,51.65%,51.79%,-11.25%,11.99%,10.01%,13.22%,$9.10,$16.20,$73.70,$544.20,$4.40,$0.00,46.14%,3.62%,70.35%,41.30%,59.27%,0.00%,NA,91.66%,12/31/10
GAIN Capital Holdings Inc,GCAP,Financial Svcs. (Div.),6100,NYS,5,$6.70,0,31.2,$241.20,$18.70,$259.90,-$44.40,$304.30,$190.80,$191.90,6.38,3.19,$0.75,8.93,0.43,1.61,1.26,NA,NA,NA,NA,-0.23,-0.23,NA,15.00%,NA,NA,NA,NA,0.3613,NA,-$1.61,NA,0.00%,-3.92%,25.23%,NA,19.81%,33.07%,-135.8,149.8,443.1,-$158.50,-$0.91,$37.80,$63.10,$41.12,$	67.70,$42.74,34.83%,34.26%,-83.07%,117.08%,159.49%,68.68%,$3.90,$4.60,$0.60,$191.90,$75.70,$0.00,2.75%,1.65%,7.75%,7.20%,11.10%,0.00%,NA,30.23%,12/31/10
Greene County Bancorp Inc.,GCBC,Thrift,6120,NDQ,4,$17.01,1288,4.1,$71.20,$0.00,$71.20,$61.60,$9.60,NA,NA,14.53,13.19,NA,NA,NA,1.60,NA,5.26,5.26,1.77,1.60,NA,NA,NA,NA,NA,NA,0.23,0.40,0.0907,21.90%,$0.00,0.4566,59.14%,0.00%,11.01%,21.98%,NA,NA,34.9,44.5,495.3,$0.00,NA,$4.90,$11.70,$7.67,$	11.70,$7.67,34.42%,33.78%,NA,13.48%,NA,1.94%,$0.00,$0.00,$4.70,NA,$5.40,$2.90,0.00%,2.99%,0.00%,0.00%,0.00%,4.07%,NA,1.15%,6/30/10
